,neg,neu,pos,nns,FRS,Dugast,Herdan,Maas,Summer,cttr,rttr,label
36,0.101,0.743,0.156,7395,71.89,53.83011440239074,0.8064371631588771,0.018576962191178017,0.9082087573428587,17.22482037593765,24.359574585091462,Literary
37,0.1,0.759,0.142,12186,77.57,54.0257489693445,0.797706734866374,0.01850969249065707,0.9054896768515844,18.303215587946248,25.884655719512228,Literary
38,0.099,0.64,0.26,5210,85.93,47.86689702006967,0.7869201223603647,0.020891264365449032,0.8968157359068628,13.195294973542804,18.660965111097763,Literary
39,0.123,0.741,0.136,15974,78.38,57.10645912072132,0.8035776885347367,0.017511153998990385,0.9095396737475945,21.298828903490232,30.12109269797996,Literary
40,0.096,0.732,0.173,18577,74.83,52.27877788389782,0.7799729780809203,0.01912822067533461,0.8982651811666066,17.705650918681904,25.039571659843595,Literary
41,0.13,0.706,0.164,20614,78.89,48.413542108678236,0.7610249817733198,0.02065537774028618,0.888461462377664,14.48897643843277,20.490506984135845,Literary
42,0.12,0.728,0.152,12003,80.31,57.85587233268,0.8110693590173144,0.01728433017567947,0.9124420941311285,21.192490270726747,29.970707161321634,Literary
43,0.117,0.7,0.183,16454,75.64,47.812805046185616,0.7632282137816404,0.020914899241615974,0.8886531365604692,13.92046654937175,19.686512588682525,Literary
44,0.102,0.684,0.215,8930,68.23,53.44516792520051,0.7989788385694565,0.018710765422227802,0.9054796082767278,17.55850360732399,24.8314739364545,Literary
45,0.119,0.71,0.171,35356,69.75,52.76693665637875,0.7713656122624938,0.01895126121328695,0.895756478839721,18.676618691002414,26.41272745208645,Literary
46,0.149,0.681,0.17,16069,60.38,61.67499744939128,0.8182896662064348,0.01621402580228027,0.9170139442360854,25.040480242493018,35.41258676726916,Literary
47,0.134,0.673,0.193,13440,60.08,61.93279816888221,0.8210181533900078,0.016146533493822415,0.9180197124156392,24.825302374087915,35.10827930744812,Literary
48,0.117,0.676,0.207,10224,77.06,52.891865496921646,0.795189432989252,0.018906498959810766,0.9038122813094451,17.307818327353818,24.476951413633387,Literary
49,0.113,0.719,0.168,17446,72.29,53.5563524814153,0.7893322992127921,0.018671921325243576,0.902376233140695,18.50137712697207,26.164898455543266,Literary
50,0.094,0.721,0.185,2087,-1.2,56.1405412457821,0.8352976438522178,0.01781243959907727,0.9190883514060532,15.70138888888889,22.20511711476089,Christmas Stories
51,0.107,0.711,0.182,20635,80.41,49.57740538570568,0.7675431604360062,0.020170478713440763,0.8917724503743333,15.436829514535527,21.830973659497424,Love and Romance
52,0.112,0.716,0.172,35502,77.87,56.75983578192594,0.7872902675820824,0.017618091846531212,0.9039911427280636,22.691444487210486,32.09054854364927,Literary
53,0.119,0.715,0.166,14544,76.96,57.806995492683676,0.8079230377214224,0.017298944383410564,0.9113974795898664,21.594024478691704,30.53856228398241,Love and Romance
54,0.104,0.741,0.155,10686,77.27,57.252285667011314,0.8122578205616524,0.017466551568197018,0.9124393384381194,20.282984466193987,28.68447171749435,Sea and Adventure
55,0.111,0.736,0.153,24569,81.33,52.09966709029544,0.7756698598206221,0.019193980611562664,0.8966743926935986,17.731185102312743,25.075682448638453,Literary
56,0.079,0.765,0.155,1049,35.04,51.72869357903315,0.8339075795611631,0.01933163068331042,0.9155511659503166,12.456901755113545,17.616719407230786,Literary
57,0.113,0.715,0.172,28980,76.35,55.1994978804842,0.785119457696828,0.01811610681976059,0.9021868467174065,20.807495332090657,29.426242097657475,Literary
58,0.136,0.673,0.191,21046,74.02,54.25023068236916,0.7878353512988577,0.01843310134209238,0.9023965567331105,19.42198890794226,27.466840121871765,Literary
59,0.107,0.72,0.173,15704,78.38,58.0546780575257,0.8074894642024164,0.017225140737308228,0.9114147967076719,21.976437189820654,31.079375526484842,Literary
60,0.101,0.688,0.211,32712,55.85,52.39422429969804,0.7698942093753096,0.019086073195395382,0.8949613435924214,18.307830510272574,25.891182205255415,Literary
61,0.116,0.704,0.18,13352,66.81,48.22540257874222,0.7685607235966865,0.020735959608988323,0.8908844104733832,14.166788645538398,20.03486463779357,Literary
62,0.119,0.702,0.179,22233,74.83,50.409666307577936,0.7677351504770031,0.019837465177778273,0.8925700854672631,16.251332756529752,22.98285519092251,Literary
63,0.098,0.701,0.201,16410,64.54,54.544219618725,0.7920456749358284,0.01833374841532613,0.9040028718792389,19.41439398956543,27.456099285298134,Literary
64,0.12,0.674,0.206,6765,68.33,53.53997599269959,0.8052327966391896,0.018677632581239004,0.9076025346500354,17.0532797922781,24.11697956518273,Literary
65,0.128,0.726,0.146,18361,70.16,50.35848712796918,0.7737011891568524,0.019857625934211167,0.8945576398511048,15.999270988831935,22.626386020488525,Literary
66,0.121,0.707,0.172,24405,75.13,55.88149513415101,0.7904314208698798,0.017895011534665745,0.9044204006381459,21.214191901899756,30.00139790245212,Literary
67,0.114,0.697,0.189,22190,77.37,58.062036069323916,0.8014298159087079,0.01722295785159923,0.909461354293241,22.844903961833122,32.307573013935254,Literary
68,0.136,0.644,0.22,12979,71.18,50.7092020687883,0.7802710054474404,0.019720286638379263,0.8970800458824093,16.05924963257593,22.711208631924023,Literary
69,0.117,0.661,0.223,6417,73.21,49.03580685810293,0.785481137059161,0.020393260844952424,0.8973909844070717,14.245379627006349,20.146009069665762,Love and Romance
70,0.117,0.736,0.147,20612,73.61,52.9857704448733,0.7825688927545024,0.01887299159007994,0.8996897483004052,18.33539453069374,25.93016361676856,Literary
